Address,Allowlist mints
0x0282e055d3b2f7c0ad656952ac1bb989fb6d0086,2
0x0291eb432cb4a2613a7415018933e3db45bcd769,3
0x02a5c980029cb470ac89df2e2de1cf453aee6558,1
0x02bc592c8471dd982e319f457078aab1213ead74,3
0x02c42570e6299361a1ec1b0abf0cefa1e1b19389,1
0x02c48475d1ef2b2bdc9b4d6fd87eae718171e2e2,1
0x02d1a96a3f39c2e4965e57caf70b3ac5083033f9,1
0x02d42a44075bb663ac11ebf91642979cc623c8d2,1
0x03191a048eb9a3266cd9873609b8d0928b56ea50,1
0x031a493e8b331c36c97086f6459801816e84332b,1
0x031f2147e9ec8d00bd463cdcd263d3646d91ac3e,1
0x032261cb5868414d70251a4d609e196838551457,1
0x03251ae9065a02d50230e02b137265157e101c20,10
0x033d8d5e4098f6cbf2d37b96674a7f69fa579a8e,1
0x0360b9acda197703cb3040715c75659c38f13cf7,3
0x036bbf4aa5783adbec43cac69535da6923d0721e,1
0x037f5924e19223e2465e928c9eafc3203c3abc69,1
0x03866919f4f20fdc4f7b0a4d59641a68699391ed,1
0x039d3ece7a18986661fb33d1e3e1f6a30c7f93e0,4
0x03a80ccbffe64035ebbcc9b89e2b4052d1761839,6
0x03ba969bea4fc29fa3ec10ca319710c8f4a19075,1
0x03e97a7fe5325a1fe2315a9ba00db9a0eef09928,1
0x03eeaad8b9dca2a51eda0d89bc1470b93befc83c,1
0x03ef78b8bdf07455dbdc2dd96b8f120913ccffaa,1
0x03f63b96240c4a0a3e197329787adf0fa42806df,2
0x03f88a63812ad93acdf90ef2927c0424544a65e7,1
0x040738ed4567efcdd853267bf84f91fc21af87d4,2
0x040ac76810a769d6c6c92c354ac54c1df13ac8c6,1
0x040dedbf67cacdfa8b6ffbaec08ad1b1d83f633b,2
0x0411b10c517b5c2307b062ce18b8eee970d60d77,1
0x0412407d89387905a4a4e06a95767d5f1aaec84a,2
0x0417926c1504f17892cff3b0d0feeda89c711fce,4
0x04287521c713f57d05819d293b26930e2d287f22,1
0x04319b5c99383b857d66627b186035027757e7e8,1
0x04370d7B4D711Ba8F07420877a9962c3e350b4B2,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,2
0x044deeae38e81be36fe1f0245f4cb14be0a19cb0,3
0x046e988679ae4f1ab0e8e3b663138d9ad43cd80d,1
0x046ea922f6aba8e4689bc775a56fd30cc21e5fe9,1
